Предложение,Название произведения,Номер автора
"Этим разговор и кончился Да еще, когда бричка подъехала к гостинице, встретился молодой человек в белых канифасовых панталонах, весьма узких и коротких, во фраке с покушеньями на моду, из-под которого видна была манишка, застегнутая тульскою булавкою с бронзовым пистолетом.",Мертвые Души,4
"Молодой человек оборотился назад, посмотрел экипаж, придержал рукою картуз, чуть не слетевший от ветра, и пошел своей дорогой.",Мертвые Души,4
"Когда экипаж въехал на двор, господин был встречен трактирным слугою, или половым, как их называют в русских трактирах, живым и вертлявым до такой степени, что даже нельзя было рассмотреть, какое у него было лицо.",Мертвые Души,4
"Он выбежал проворно, с салфеткой в руке, - весь длинный и в длинном демикотонном сюртуке со спинкою чуть не на самом затылке, встряхнул волосами и повел проворно господина вверх по всей деревянной галерее показывать ниспосланный ему богом покой.",Мертвые Души,4
"Покой был известного рода, ибо гостиница была тоже известного рода, то есть именно такая, как бывают гостиницы в губернских городах, где за два рубля в сутки проезжающие получают покойную комнату с тараканами, выглядывающими, как чернослив, из всех углов, и дверью в соседнее помещение, всегда заставленною комодом, где устроивается сосед, молчаливый и спокойный человек, но чрезвычайно любопытный, интересующийся знать о всех подробностях проезжающего.",Мертвые Души,4
"Наружный фасад гостиницы отвечал ее внутренности: она была очень длинна, в два этажа; нижний не был выщекатурен и оставался в темно-красных кирпичиках, еще более потемневших от лихих погодных перемен и грязноватых уже самих по себе; верхний был выкрашен вечною желтою краскою; внизу были лавочки с хомутами, веревками и баранками.",Мертвые Души,4
"В угольной из этих лавочек, или, лучше, в окне, помещался сбитенщик с самоваром из красной меди и лицом так же красным, как самовар, так что издали можно бы подумать, что на окне стояло два самовара, если б один самовар не был с черною как смоль бородою.",Мертвые Души,4
"Пока приезжий господин осматривал свою комнату, внесены были его пожитки: прежде всего чемодан из белой кожи, несколько поистасканный, показывавший, что был не в первый раз в дороге.",Мертвые Души,4
"Чемодан внесли кучер Селифан, низенький человек в тулупчике, и лакей Петрушка, малый лет тридцати, в просторном подержанном сюртуке, как видно с барского плеча, малый немного суровый на взгляд, с очень крупными губами и носом.",Мертвые Души,4
"Вслед за чемоданом внесен был небольшой ларчик красного дерева с штучными выкладками из карельской березы, сапожные колодки и завернутая в синюю бумагу жареная курица.",Мертвые Души,4
"Когда все это было внесено, кучер Селифан отправился на конюшню возиться около лошадей, а лакей Петрушка стал устроиваться в маленькой передней, очень темной конурке, куда уже успел притащить свою шинель и вместе с нею какой-то свой собственный запах, который был сообщен и принесенному вслед за тем мешку с разным лакейским туалетом.",Мертвые Души,4
"В этой конурке он приладил к стене узенькую трехногую кровать, накрыв ее небольшим подобием тюфяка, убитым и плоским, как блин, и, может быть, так же замаслившимся, как блин, который удалось ему вытребовать у хозяина гостиницы.",Мертвые Души,4
"Покамест слуги управлялись и возились, господин отправился в общую залу.",Мертвые Души,4
"Какие бывают эти общие залы - всякий проезжающий знает очень хорошо: те же стены, выкрашенные масляной краской, потемневшие вверху от трубочного дыма и залосненные снизу спинами разных проезжающих, а еще более туземными купеческими, ибо купцы по торговым дням приходили сюда сам-шест и сам-сьм испивать свою известную пару чаю; тот же закопченный потолок; та же копченая люстра со множеством висящих стеклышек, которые прыгали и звенели всякий раз, когда половой бегал по истертым клеенкам, помахивая бойко подносом, на котором сидела такая же бездна чайных чашек, как птиц на морском берегу; те же картины во всю стену, писанные масляными красками, - словом, все то же, что и везде; только и разницы, что на одной картине изображена была нимфа с такими огромными грудями, какие читатель, верно, никогда не видывал.",Мертвые Души,4
"Подобная игра природы, впрочем, случается на разных исторических картинах, неизвестно в какое время, откуда и кем привезенных к нам в Россию, иной раз даже нашими вельможами, любителями искусств, накупившими их в Италии по совету везших их курьеров.",Мертвые Души,4
"Господин скинул с себя картуз и размотал с шеи шерстяную, радужных цветов косынку, какую женатым приготовляет своими руками супруга, снабжая приличными наставлениями, как закутываться, а холостым - наверное не могу сказать, кто делает, бог их знает, я никогда не носил таких косынок.",Мертвые Души,4
"Размотавши косынку, господин велел подать себе обед.",Мертвые Души,4
"Покамест ему подавались разные обычные в трактирах блюда, как-то: щи с слоеным пирожком, нарочно сберегаемым для проезжающих в течение нескольких неделей, мозги с горошком, сосиски с капустой, пулярка жареная, огурец соленый и вечный слоеный сладкий пирожок, всегда готовый к услугам; покамест ему все это подавалось и разогретое, и просто холодное, он заставил слугу, или полового, рассказывать всякий вздор - о том, кто содержал прежде трактир и кто теперь, и много ли дает дохода, и большой ли подлец их хозяин; на что половой, по обыкновению, отвечал: ""О, большой, сударь, мошенник"".",Мертвые Души,4
"Как в просвещенной Европе, так и в просвещенной России есть теперь весьма много почтенных людей, которые без того не могут покушать в трактире, чтоб не поговорить с слугою, а иногда даже забавно пошутить над ним.",Мертвые Души,4
"Впрочем, приезжий делал не всь пустые вопросы; он с чрезвычайною точностию расспросил, кто в городе губернатор, кто председатель палаты, кто прокурор, - словом, не пропустил ни одного значительного чиновника; но еще с большею точностию, если даже не с участием, расспросил обо всех значительных помещиках: сколько кто имеет душ крестьян, как далеко живет от города, какого даже характера и как часто приезжает в город; расспросил внимательно о состоянии края: не было ли каких болезней в их губернии - повальных горячек, убийственных какие-либо лихорадок, оспы и тому подобного, и все так обстоятельно и с такою точностию, которая показывала более, чем одно простое любопытство.",Мертвые Души,4
В приемах своих господин имел что-то солидное и высмаркивался чрезвычайно громко.,Мертвые Души,4
"Неизвестно, как он это делал, но только нос его звучал, как труба.",Мертвые Души,4
"﻿Нигде не останавливалось столько народа, как перед картинною лавочкою на Щукином дворе.",Портрет,4
"Эта лавочка представляла, точно, самое разнородное собрание диковинок: картины большею частью были писаны масляными красками, покрыты темно-зеленым лаком, в темно-желтых мишурных рамах.",Портрет,4
"Зима с белыми деревьями, совершенно красный вечер, похожий на зарево пожара, фламандский мужик с трубкою и выломанною рукою, похожий более на индейского петуха в манжетах, нежели на человека, - вот их обыкновенные сюжеты.",Портрет,4
"К этому нужно присовокупить несколько гравированных изображений: портрет Хозрева-Мирзы в бараньей шапке, портреты каких-то генералов в треугольных шляпах, с кривыми носами.",Портрет,4
"Сверх того, двери такой лавочки обыкновенно бывают увешаны связками произведений, отпечатанных лубками на больших листах, которые свидетельствуют самородное дарованье русского человека.",Портрет,4
"На одном была царевна Миликтриса Кирбитьевна, на другом город Иерусалим, по домам и церквам которого без церемонии прокатилась красная краска, захватившая часть земли и двух молящихся русских мужиков в рукавицах.",Портрет,4
"Покупателей этих произведений обыкновенно немного, но зато зрителей - куча.",Портрет,4
"Какой-нибудь забулдыга лакей уже, верно, зевает перед ними, держа в руке судки с обедом из трактира для своего барина, который, без сомнения, будет хлебать суп не слишком горячий.",Портрет,4
"Перед ним уже, верно, стоит в шинели солдат, этот кавалер толкучего рынка, продающий два перочинные ножика; торговка-охтенка с коробкою, наполненною башмаками.",Портрет,4
"Всякий восхищается по-своему: мужики обыкновенно тыкают пальцами; кавалеры рассматривают серьезно; лакеи-мальчики и мальчишки-мастеровые смеются и дразнят друг друга нарисованными карикатурами; старые лакеи во фризовых шинелях смотрят потому только, чтобы где-нибудь позевать; а торговки, молодые русские бабы, спешат по инстинкту, чтобы послушать, о чем калякает народ, и посмотреть, на что он смотрит.",Портрет,4
В это время невольно остановился перед лавкою проходивший мимо молодой художник Чартков.,Портрет,4
"Старая шинель и нещегольское платье показывали в нем того человека, который с самоотвержением предан был своему труду и не имел времени заботиться о своем наряде, всегда имеющем таинственную привлекательность для молодости.",Портрет,4
Он остановился перед лавкою и сперва внутренно смеялся над этими уродливыми картинами.,Портрет,4
"Наконец овладело им невольное размышление: он стал думать о том, кому бы нужны были эти произведения.",Портрет,4
"Что русский народ заглядывается на Ерусланов Лазаревичей, на объедал и обпивал, на Фому и Ерему, это не казалось ему удивительным: изображенные предметы были очень доступны и понятны народу; но где покупатели этих пестрых, грязных масляных малеваний?",Портрет,4
"кому нужны эти фламандские мужики, эти красные и голубые пейзажи, которые показывают какое-то притязание на несколько уже высший шаг искусства, но в котором выразилось все глубокое его унижение?",Портрет,4
"Это, казалось, не были вовсе труды ребенка-самоучки.",Портрет,4
"Иначе в них бы, при всей бесчувственной карикатурности целого, вырывался острый порыв.",Портрет,4
"Но здесь было видно просто тупоумие, бессильная, дряхлая бездарность, которая самоуправно стала в ряды искусств, тогда как ей место было среди низких ремесл, бездарность, которая была верна, однако ж, своему призванию и внесла в самое искусство свое ремесло.",Портрет,4
"Те же краски, та же манера, та же набившаяся, приобыкшая рука, принадлежавшая скорее грубо сделанному автомату, нежели человеку!..",Портрет,4
"Долго стоял он пред этими грязными картинами, уже наконец не думая вовсе о них, а между тем хозяин лавки, серенький человечек во фризовой шинели, с бородой, не бритой с самого воскресенья, толковал ему уже давно, торговался и условливался в цене, еще не узнав, что ему понравилось и что нужно.",Портрет,4
- Вот за этих мужичков и за ландшафтик возьму беленькую.,Портрет,4
Живопись-то какая!,Портрет,4
Просто глаз прошибет; только что получены с биржи; еще лак не высох.,Портрет,4
"Или вот зима, возьмите зиму!",Портрет,4
Пятнадцать рублей!,Портрет,4
Одна рамка чего стоит.,Портрет,4
Вон она какая зима!,Портрет,4
"- Тут купец дал легкого щелчка в полотно, вероятно чтобы показать всю добро'ту зимы.",Портрет,4
- Прикажете связать их вместе и снести за вами?,Портрет,4
"﻿На мой взгляд, это была одна из тех горячих и восприимчивых натур, которые привыкли приписывать обыкновенно искренним и самобытным художникам.",Записки о личности Белинского,5
"Такие натуры встречаются нередко - я их наблюдал везде, где они попадались: и в своих товарищах по перу, и гораздо раньше, начиная со школы, наблюдал и в самом себе - и во множестве экземпляров - и во всех находил неизбежные родовые сходственные черты, часто рядом с поразительными несходствами, составлявшими особенности видов или индивидумов.",Записки о личности Белинского,5
"Все эти наблюдения привели меня к фигуре Райского в романе ""Обрыв"", этой жертве своего темперамента и богатой, но не направленной ни на какую цель фантазии.",Записки о личности Белинского,5
"Последняя была в нем праздною, бесполезною силой, и, без строгой его подготовки к какому бы то ни было делу, разрешалась у него только в бесплодных порывах к деятельности и уродовала самую его жизнь.",Записки о личности Белинского,5
"Но другие, богато одаренные натуры, став твердой ногой на почве своего призвания, подчиняют фантазию сознательной силе ума и создают целую сферу производительной деятельности.",Записки о личности Белинского,5
Так было и с Белинским.,Записки о личности Белинского,5
Но напрасно приписывать избыток фантазии и восприимчивость только художническим натурам.,Записки о личности Белинского,5
"Не одним художникам нужно творчество: это я говорю вопреки мнению Белинского, или, по крайней мере, вопреки его словам, не раз слышанным мною от него, что ""Бог дал человеку быть творцом только в искусстве"".",Записки о личности Белинского,5
Тут есть нечто недосказанное.,Записки о личности Белинского,5
"Совершенно справедливо, что в искусстве художник создает или изобретает сходства и подобия, т. е. образы существующего или возможного в природе, а в сфере знания ученый только угадывает или открывает скрытые законы или готовые истины.",Записки о личности Белинского,5
"Но, сколько мне кажется, в процессах самого этого угадывания или этих открытий действуют также изобретательные или творческие силы и приемы.",Записки о личности Белинского,5
"Не один Ньютон наблюдал падающие с дерева яблоки и не один Фультон видел, как привскакивает крышка на чайнике от пара - однако не угадывали же другие законов тяготения или парового движения, - следовательно, и тот и другой были как бы творцы этих законов.",Записки о личности Белинского,5
"Таким образом, нервозность, т. е. тонкие и чуткие нервы, а вследствие этого впечатлительность и помощь фантазии присущи, как необходимый элемент, всякой работе, требующей инициативы мысли и изобретательной производительности, не говоря уже о науке, искусстве, но даже в ремеслах, чему мы видим немало примеров.",Записки о личности Белинского,5
"Талантливый ремесленник, с помощью этой же фантазии, делает новые, смелые шаги в ремесле и иногда возводит его на степень искусства.",Записки о личности Белинского,5
"Чуткость нерв и фантазии в художниках (живописцах, поэтах, актерах) только разнообразнее и капризнее проявляется, по самому свойству и натуре их дела, по образу жизни и прочим условиям.",Записки о личности Белинского,5
"И Белинский в сфере своей деятельности также творил по-своему, т. е. угадывал смысл явления, чуял в нем правду или ложь, определял характер его, и если явление представляло пищу увлечению, он доверчиво увлекался сам и увлекал других.",Записки о личности Белинского,5
"Пережив впечатление в самом себе, истратив на него потоки, более или менее горячих, печатных или изустных, импровизаций, он потом оставался ему верен уже в той доле правды, не какую он видел в пылу увлечения, а какая действительно была в нем - и относился к нему умереннее.",Записки о личности Белинского,5
"Наконец у него были постоянные увлечения или влечения, плоды не одной только фантазии или напряженной работы непрерывного умственного развития: они составляли основу его честной и прямой натуры: это влечения к идеалам свободы, правды, добра, человечности, причем он нередко ссылался на Евангелие, - и не помню где, - даже печатно.",Записки о личности Белинского,5
"Этим идеалам он не изменял, конечно, никогда и на всякого, сколько-нибудь близкого ему человека, смотрел не иначе, как на своего единомышленника, иногда не давая себе труда всмотреться, действительно ли это было так.",Записки о личности Белинского,5
"Никаких уклонений от этих путеводных своих начал он ни в ком не допускал и не простил бы никому иного исповедания в нравственных, политических или социальных взглядах, кроме тех, какие принимал и проповедовал сам, разумеется в теории, ибо на практике это было неприменимо в то время нигде, кроме робкого проговариванья или намеков в статьях, да толков в тесном кругу друзей.",Записки о личности Белинского,5
"В стремлении или в порывах, повторяю бесплодных, тогда казавшихся даже безнадежными, к этим последним идеалам особенно высказывалось его горячее нетерпение, иногда до ребячества.",Записки о личности Белинского,5
"В тумане новой какой-нибудь идеи, даже в роде идей Фурье, например (о чем могут больше меня сказать знавшие его смолода), если в ней только искрился намек на истину, на прогресс, на что-нибудь, что казалось ему разумным или честным, перед ним возникал уже определенный образ ее; нарождавшаяся ипотеза становилась его религией; - он веровал в идеал в пеленках, не думая подозревать тут какого-нибудь обольщения, заблуждения или замаскированной лжи.",Записки о личности Белинского,5
Он видел только одну светлую сторону.,Записки о личности Белинского,5
"Так, всматриваясь и вслушиваясь в неясный еще тогда и новый у нас слух и говор о коммунизме, он наивно, искренно, почти про себя, мечтательно произнес однажды: ""Конечно, будь у меня тысяч сто, их не стоило бы жертвовать, - но будь у меня миллионы, я отдал бы их!""",Записки о личности Белинского,5
"- Кому, куда отдал бы?",Записки о личности Белинского,5
"В коммуну, для коммуны, на коммуну?",Записки о личности Белинского,5
"Любопытно было бы спросить, в какую кружку положил бы он эти миллионы, когда одно какое-то смутное понятие носилось в воздухе, кое-как перескочившее к нам через границу, и когда самое название ""коммуны"" было еще для многих ново.",Записки о личности Белинского,5
"А он готов был класть в кружку миллионы, и положил бы, если б они были у него и если б была кружка!",Записки о личности Белинского,5
"Он только слышал о коммунизме: книг негде было взять - но, конечно, он скорее других почерпнул из рассказов одну мечту, манившую к соблазнительным благам.",Записки о личности Белинского,5
Он мчался вперед и никогда не оглядывался.,Записки о личности Белинского,5
"﻿Комедия «Горе от ума» держится каким-то особняком в литературе и отличается моложавостью, свежестью и более крепкой живучестью от других произведений слова.",Мильон терзаний,5
"Она как столетний старик, около которого все, отжив по очереди свою пору, умирают и валятся, а он ходит, бодрый и свежий, между могилами старых и колыбелями новых людей.",Мильон терзаний,5
"И никому в голову не приходит, что настанет когда-нибудь и его черед.",Мильон терзаний,5
"Все знаменитости первой величины, конечно, недаром поступили в так называемый «храм бессмертия».",Мильон терзаний,5
"У всех у них много, а у иных, как, например, у Пушкина, гораздо более прав на долговечность, нежели у Грибоедова.",Мильон терзаний,5
Их нельзя близко и ставить одного с другим.,Мильон терзаний,5
"Пушкин громаден, плодотворен, силен, богат.",Мильон терзаний,5
"Он для русского искусства то же, что Ломоносов для русского просвещения вообще.",Мильон терзаний,5
"Пушкин занял собою всю свою эпоху, сам создал другую, породил школы художников, – взял себе в эпохе все, кроме того, что успел взять Грибоедов и до чего не договорился Пушкин.",Мильон терзаний,5
"Несмотря на гений Пушкина, передовые его герои, как герои его века, уже бледнеют и уходят в прошлое.",Мильон терзаний,5
"Гениальные создания его, продолжая служить образцами и источником искусству, – сами становятся историей.",Мильон терзаний,5
"Мы изучили Онегина, его время и его среду, взвесили, определили значение этого типа, но не находим уже живых следов этой личности в современном веке, хотя создание этого типа останется неизгладимым в литературе.",Мильон терзаний,5
"Даже позднейшие герои века, например, лермонтовский Печорин, представляя, как и Онегин, свою эпоху, каменеют, однако, в неподвижности, как статуи на могилах.",Мильон терзаний,5
"Не говорим о явившихся позднее их более или менее ярких типах, которые при жизни авторов успели сойти в могилу, оставив по себе некоторые права на литературную память.",Мильон терзаний,5
"Называли бессмертною комедиею «Недоросль» Фонвизина, – и основательно – ее живая, горячая пора продолжалась около полувека: это громадно для произведения слова.",Мильон терзаний,5
"Но теперь нет ни одного намека в «Недоросле» на живую жизнь, и комедия, отслужив свою службу, обратилась в исторический памятник.",Мильон терзаний,5
"«Горе от ума» появилось раньше Онегина, Печорина, пережило их, прошло невредимо чрез гоголевский период, прожило эти полвека со времени своего появления и все живет своею нетленной жизнью, переживет и еще много эпох и все не утратит своей жизненности.",Мильон терзаний,5
"Отчего же это, и что такое вообще это «Горе от ума»?",Мильон терзаний,5
"Критика не трогала комедию с однажды занятого ею места, как будто затрудняясь, куда ее поместить.",Мильон терзаний,5
"Изустная оценка опередила печатную, как сама пьеса задолго опередила печать.",Мильон терзаний,5
Но грамотная масса оценила ее фактически.,Мильон терзаний,5
"Сразу поняв ее красоты и не найдя недостатков, она разнесла рукопись на клочья, на стихи, полустишья, развела всю соль и мудрость пьесы в разговорной речи, точно обратила мильон в гривенники, и до того испестрила грибоедовскими поговорками разговор, что буквально истаскала комедию до пресыщения.",Мильон терзаний,5
"Но пьеса выдержала и это испытание – и не только не опошлилась, но сделалась как будто дороже для читателей, нашла себе в каждом из них покровителя, критика и друга, как басни Крылова, не утратившие своей литературной силы, перейдя из книги в живую речь.",Мильон терзаний,5
"Печатная критика всегда относилась с большею или меньшею строгостью только к сценическому исполнению пьесы, мало касаясь самой комедии или высказываясь в отрывочных, неполных и разноречивых отзывах.",Мильон терзаний,5
"Решено раз всеми навсегда, что комедия образцовое произведение, – и на том все помирились.",Мильон терзаний,5
"И мы здесь не претендуем произнести критический приговор, в качестве присяжного критика: решительно уклоняясь от этого – мы, в качестве любителя, только высказываем свои размышления, тоже по поводу одного из последних представлений «Горе от ума» на сцене.",Мильон терзаний,5
"Мы хотим поделиться с читателем этими своими мнениями, или, лучше сказать, сомнениями о том, так ли играется пьеса, то есть с той ли точки зрения смотрят обыкновенно на ее исполнение и сами артисты и зрители?",Мильон терзаний,5
"А заговорив об этом, нельзя не высказать мнений и сомнений и о том, так ли должно понимать самую пьесу, как ее понимают некоторые исполнители и, может быть, и зрители.",Мильон терзаний,5
"Не хотим опять сказать, что мы считаем наш способ понимания непогрешимым, – мы предлагаем его только как один из способов понимания или как одну из точек зрения.",Мильон терзаний,5
"Что делать актеру, вдумывающемуся в свою роль в этой пьесе?",Мильон терзаний,5
"﻿В Гороховой улице, в одном из больших домов, народонаселения которого стало бы на целый уездный город, лежал утром в постели, на своей квартире, Илья Ильич Обломов.",Обломов,5
"Это был человек лет тридцати двух-трех от роду, среднего роста, приятной наружности, с темно-серыми глазами, но с отсутствием всякой определенной идеи, всякой сосредоточенности в чертах лица.",Обломов,5
"Мысль гуляла вольной птицей по лицу, порхала в глазах, садилась на полуотворенные губы, пряталась в складках лба, потом совсем пропадала, и тогда во всем лице теплился ровный свет беспечности.",Обломов,5
"С лица беспечность переходила в позы всего тела, даже в складки шлафрока.",Обломов,5
"Иногда взгляд его помрачался выражением будто усталости или скуки; но ни усталость, ни скука не могли ни на минуту согнать с лица мягкость, которая была господствующим и основным выражением, не лица только, а всей души; а душа так открыто и ясно светилась в глазах, в улыбке, в каждом движении головы, руки.",Обломов,5
"И поверхностно наблюдательный, холодный человек, взглянув мимоходом на Обломова, сказал бы: «Добряк должен быть, простота!» Человек поглубже и посимпатичнее, долго вглядываясь в лицо его, отошел бы в приятном раздумье, с улыбкой.",Обломов,5
"Цвет лица у Ильи Ильича не был ни румяный, ни смуглый, ни положительно бледный, а безразличный или казался таким, может быть, потому, что Обломов как-то обрюзг не по летам: от недостатка ли движения или воздуха, а может быть, того и другого.",Обломов,5
"Вообще же тело его, судя по матовому, чересчур белому цвету шеи, маленьких пухлых рук, мягких плеч, казалось слишком изнеженным для мужчины.",Обломов,5
"Движения его, когда он был даже встревожен, сдерживались также мягкостью и не лишенною своего рода грации ленью.",Обломов,5
"Если на лицо набегала из души туча заботы, взгляд туманился, на лбу являлись складки, начиналась игра сомнений, печали, испуга; но редко тревога эта застывала в форме определенной идеи, еще реже превращалась в намерение.",Обломов,5
Вся тревога разрешалась вздохом и замирала в апатии или в дремоте.,Обломов,5
Как шел домашний костюм Обломова к покойным чертам лица его и к изнеженному телу!,Обломов,5
"На нем был халат из персидской материи, настоящий восточный халат, без малейшего намека на Европу, без кистей, без бархата, без талии, весьма поместительный, так что и Обломов мог дважды завернуться в него.",Обломов,5
"Рукава, по неизменной азиатской моде, шли от пальцев к плечу все шире и шире.",Обломов,5
"Хотя халат этот и утратил свою первоначальную свежесть и местами заменил свой первобытный, естественный лоск другим, благоприобретенным, но все еще сохранял яркость восточной краски и прочность ткани.",Обломов,5
